#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-56219.99416957548,7555.104708047077,-48664.88946152841,165.0177491748314,50.47690724163885,1.0438529559069982,0
1000,2.0000000000000013,-56751.227828099065,8857.959634937339,-47893.268193161726,193.47456027736666,46.253107476410506,1.139176840304204,102
1500,2.999999999999891,-56350.70739215854,9335.221761438348,-47015.48563072019,203.8988660844993,45.15515497270759,1.1668760490596242,101
2000,3.999999999999781,-56364.78546398935,10138.086631938884,-46226.69883205046,221.43495048587457,44.15350363925408,1.1933474013687178,101
2500,4.999999999999671,-55881.03793918108,10228.436650757423,-45652.601288423655,223.40836545753717,43.930878542358826,1.1993948351937265,101
3000,5.999999999999561,-55867.34112598196,10722.139881477318,-45145.20124450464,234.19177601794473,43.84971693859793,1.2016147995438538,101
3500,6.999999999999451,-55625.817353561266,11064.854311690227,-44560.96304187104,241.67730614213116,43.999791039776134,1.1975163423297968,101
4000,7.999999999999341,-55578.416605486265,11363.919049295071,-44214.49755619119,248.20944457888217,43.84110931639217,1.2018507207236002,100
4500,8.999999999999675,-55324.78410680693,11620.73653522811,-43704.04757157882,253.81882328574113,43.785760403382,1.2033699619193614,99.8
5000,10.000000000000009,-54880.45107704739,11564.487634058092,-43315.963442989305,252.59024109881955,43.5591757752459,1.2096296105577684,99.8
5500,11.000000000000343,-54955.277353112804,11892.915161988185,-43062.362191124615,259.76371830666716,43.50030540235856,1.2112666415066418,99.7
6000,12.000000000000677,-54719.00319459591,11909.52629065303,-42809.47690394288,260.12653671481,43.507600600981604,1.2110635406549928,99.7
6500,13.00000000000101,-54664.49439842344,12054.180485431023,-42610.31391299242,263.2860574035885,43.42412340053809,1.2133916519907264,99.5
7000,14.000000000001345,-54504.925040995564,12187.543470741166,-42317.381570254394,266.1989567623062,43.35600051304933,1.2152981872340658,99.4
7500,15.000000000001679,-54462.32420365812,12237.37137380879,-42224.95282984933,267.2872922292605,43.524920915870744,1.2105816098109266,99.3
8000,16.00000000000201,-54471.43589312259,12524.336749016307,-41947.09914410628,273.5551577503588,43.683614230993946,1.20618382331203,99.2
8500,17.000000000001457,-54294.529723286185,12508.227592329298,-41786.30213095689,273.2033033578229,43.03319101979632,1.2244146339273139,99.1
9000,18.000000000000902,-54191.25981319762,12394.027150673275,-41797.232662524344,270.70895012711566,43.62796180005909,1.2077224480644135,99
9500,19.000000000000348,-54471.298069036544,12662.916903036963,-41808.381165999584,276.582009922564,43.0621266346665,1.2235918879772751,98.9
10000,19.999999999999794,-54189.77645935303,12553.458743815201,-41636.31771553783,274.19123709259156,43.64336203103555,1.207296284639093,98.8
10500,20.99999999999924,-53959.096026607825,12454.229793712611,-41504.86623289521,272.02388950024516,43.372944494855965,1.214823421441382,98.8
11000,21.999999999998685,-54237.28302062309,12728.105463625358,-41509.17755699773,278.0058511472642,43.54993716638852,1.2098862193053668,98.8
11500,22.99999999999813,-54232.082183444705,12726.345101108764,-41505.73708233594,277.9674015067303,43.25297547816007,1.2181929276942651,98.8
12000,23.999999999997577,-53893.09501054427,12768.36577978571,-41124.72923075856,278.8852124546955,43.93790490670869,1.1992030330327152,98.7
12500,24.999999999997023,-53889.71337031935,12778.693872240461,-41111.01949807889,279.1107974910401,43.53466506980913,1.2103106511727457,98.7
13000,25.99999999999647,-54049.83788570527,13024.3650373967,-41025.472848308564,284.4767195103684,43.51522113170277,1.2108514551668157,98.6
13500,26.999999999995914,-54179.32074856659,13049.444203082177,-41129.87654548441,285.0244958328054,43.83719287142721,1.201958094893694,98.6
14000,27.99999999999536,-53814.32082190437,12795.421151908005,-41018.89966999637,279.4761528563491,43.551373949230765,1.2098463045196013,98.5
14500,28.999999999994806,-54050.54119967309,13036.37570114722,-41014.16549852587,284.7390550801317,43.45342688281645,1.2125733827926097,98.5
15000,29.99999999999425,-53875.67620493278,13072.928107804513,-40802.748097128264,285.53742864431075,43.58406944576331,1.208938713141436,98.4
15500,30.999999999993697,-53709.893390437675,12967.455279649497,-40742.43811078818,283.23370296825146,43.452083192565475,1.212610879798814,98.4
16000,31.999999999993143,-53879.17488110356,13211.893924243835,-40667.28095685972,288.5727044117842,43.58780855762841,1.2088350062280566,98.4
16500,32.999999999994365,-53743.76547180257,13063.754845522344,-40680.01062628023,285.3370672789968,43.530336361241915,1.2104310059074588,98.3
17000,33.99999999999559,-53660.669230374726,13154.578903787471,-40506.090326587255,287.32083616705364,43.758228813205484,1.2041270923956364,98.3
17500,34.99999999999681,-53847.43148510134,13366.70451227549,-40480.726972825854,291.9540599022257,43.646554192434344,1.207207987070865,98.3
18000,35.99999999999803,-53490.64424526229,12983.244180894726,-40507.40006436756,283.57856237736814,43.741081415839275,1.204599134811242,98.3
18500,36.999999999999254,-53879.67825964882,13318.761784543825,-40560.916475105,290.90690022339896,43.514869546831704,1.2108612384215327,98.3
19000,38.000000000000476,-53657.48312344072,13183.007713374158,-40474.47541006656,287.94177503567295,43.46537935360158,1.2122399392992325,98.3
19500,39.0000000000017,-53625.069011279906,13337.051703787418,-40288.01730749249,291.3063865869635,43.40084882009187,1.2140423577346187,98.2
20000,40.00000000000292,-53443.87763558123,13257.501075460821,-40186.37656012041,289.5688506904833,43.9138616253118,1.1998596087677578,98.2
20500,41.00000000000414,-53473.53252259823,13397.268945744794,-40076.26357685344,292.6216448280225,44.01876974357923,1.197000032853343,98.2
21000,42.000000000005365,-53430.73336565151,13405.271874978123,-40025.46149067339,292.79644391022225,43.85640058585673,1.2014316753167438,98.2
21500,43.00000000000659,-53598.92018226225,13456.669871389564,-40142.25031087268,293.9190731797912,43.616355622149904,1.2080438192885155,98.2
22000,44.00000000000781,-53588.3917661557,13311.128300178005,-40277.263465977696,290.7401705145351,43.78739294346046,1.203325096272882,98.2
22500,45.00000000000903,-53820.352261162465,13264.843116197771,-40555.50914496469,289.72921472031214,43.21765130516951,1.2191886240455059,98.1
