#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-56434.35757770333,7415.156381541249,-49019.20119616208,161.96101353274582,51.45895952906066,1.02393187331104,0
1000,2.0000000000000013,-56849.62224498008,8573.369215129578,-48276.2530298505,187.2585682655847,46.91742310873894,1.1230469479772824,102
1500,2.999999999999891,-56667.15707402691,9320.94874532692,-47346.20832869999,203.5871164683576,45.30909330631674,1.1629115699360568,101
2000,3.999999999999781,-56498.83675331228,9934.295127765898,-46564.54162554638,216.98375932187116,44.27656130951125,1.190030735695579,101
2500,4.999999999999671,-55787.00410168087,10014.099053797372,-45772.9050478835,218.72682771839544,44.12803764479329,1.1940360741476361,101
3000,5.999999999999561,-55669.854710498905,10318.238213176064,-45351.616497322844,225.3698011060628,44.2252117984799,1.1914124700933406,101
3500,6.999999999999451,-55510.42985741786,10919.292967451314,-44591.13688996655,238.49797159663055,43.73491788129775,1.20476889821165,101
4000,7.999999999999341,-55476.801993596535,11228.95789073853,-44247.844102858005,245.26163809946874,43.30545808327287,1.2167165794184327,100
4500,8.999999999999675,-55376.30909813508,11547.466559923958,-43828.84253821112,252.2184687077419,43.48832166568998,1.2116004207814282,99.8
5000,10.000000000000009,-55221.07026749844,11690.500721954224,-43530.56954554422,255.34260482304975,43.480614107712874,1.2118151942081585,99.5
5500,11.000000000000343,-54960.073442033165,11475.710234747437,-43484.36320728573,250.65117510596363,43.354113164524286,1.215351093200161,99.2
6000,12.000000000000677,-54699.774972212785,11437.533233581507,-43262.24173863127,249.8173173308442,43.279539560999645,1.2174452261666129,98.9
6500,13.00000000000101,-54838.962862362794,11870.215510760696,-42968.7473516021,259.26791507198476,43.63804265912297,1.2074434511377565,98.8
7000,14.000000000001345,-54749.944691274744,12047.215841335685,-42702.728849939056,263.133936428853,43.18799578411412,1.2200257935703804,98.5
7500,15.000000000001679,-54658.99449304708,12117.017638094334,-42541.97685495275,264.6585394402716,43.24098333049534,1.2185307726817713,98.3
8000,16.00000000000201,-54453.35408147629,12188.558681029546,-42264.79540044675,266.22113087149484,43.137706346898426,1.2214480854756085,98.1
8500,17.000000000001457,-54433.23323110194,12389.975570070274,-42043.25766103167,270.6204559582664,43.32313632829889,1.2162200914990173,97.9
9000,18.000000000000902,-54208.758875810396,12390.316222250312,-41818.44265356008,270.6278964449537,43.84894196040159,1.201636036664487,97.8
9500,19.000000000000348,-54284.099175129915,12843.39393007337,-41440.705245056546,280.5239688933763,42.97985170802805,1.2259341699726298,97.7
10000,19.999999999999794,-54153.58905585237,12782.471188446594,-41371.117867405774,279.1933012077118,43.44705862593682,1.2127511158551287,97.6
10500,20.99999999999924,-53853.218262126036,12642.313267308271,-41210.90499481776,276.1319876231846,43.26796612528036,1.21777087179613,97.5
11000,21.999999999998685,-54249.72763173175,12940.054931978451,-41309.6726997533,282.6352276493763,42.88647262065277,1.2286034642040953,97.4
11500,22.99999999999813,-53970.19661808152,12773.435775933123,-41196.7608421484,278.9959507415758,43.502572190148186,1.2112035260563427,97.2
12000,23.999999999997577,-53598.33127815507,12615.727850280171,-40982.6034278749,275.5513119279586,43.05333463845452,1.2238417598010127,97.2
12500,24.999999999997023,-53864.16848612314,12825.805526301325,-41038.36295982182,280.139804952015,43.15252244060278,1.221028710471185,97.1
13000,25.99999999999647,-53986.68269433387,12894.273291376525,-41092.409402957346,281.63527019311306,43.25996844836996,1.2179960069114073,97.1
13500,26.999999999995914,-54019.8143394179,12925.313510796288,-41094.50082862161,282.31324718224556,43.33674906039322,1.2158380582678159,97
14000,27.99999999999536,-53949.33419107462,12948.291693935676,-41001.042497138944,282.81513407968987,43.44162844680244,1.2129027090628415,97.1
14500,28.999999999994806,-53849.80207172269,12946.165875100263,-40903.63619662243,282.7687021832531,43.35827592766937,1.215234409161627,97
15000,29.99999999999425,-53590.56180503326,12890.094503454644,-40700.46730157862,281.54399757628045,42.99492135755522,1.2255044820536487,96.9
15500,30.999999999993697,-53673.29266669419,13115.17468480159,-40558.1179818926,286.46017363803315,43.627507761929856,1.2077350170161845,96.9
16000,31.999999999993143,-53360.278145677075,12819.439567323543,-40540.838578353534,280.00076039043086,43.29912639264299,1.2168945015523633,96.8
16500,32.999999999994365,-53670.829051720866,13072.887807370302,-40597.941244350564,285.5365484067494,42.70345340105844,1.2338690347680898,96.7
17000,33.99999999999559,-53813.20990748508,13109.81438162503,-40703.39552586005,286.3430944976013,43.12831404572708,1.2217140872551304,96.6
17500,34.99999999999681,-53571.439331023845,12955.30334857434,-40616.1359824495,282.96828185343696,43.559431062713514,1.209622521317333,96.6
18000,35.99999999999803,-53474.925847226936,13023.055753519966,-40451.870093706966,284.4481222788649,43.170033345001855,1.2205334290140983,96.6
18500,36.999999999999254,-53721.047837044905,13243.088029522472,-40477.959807522435,289.2540425585766,42.934443863587674,1.227230728704382,96.6
19000,38.000000000000476,-53579.70833382894,13238.709402015123,-40340.99893181381,289.1584050679449,43.30160658401734,1.2168248013383451,96.5
19500,39.0000000000017,-53607.04500651075,13235.050531159206,-40371.994475351545,289.0784884213203,43.381167717794625,1.21459314262799,96.5
20000,40.00000000000292,-53725.72445853847,13277.696151977392,-40448.02830656108,290.0099492854013,43.17193571376077,1.2204796462817242,96.5
20500,41.00000000000414,-53803.75393385498,13486.780607622131,-40316.97332623285,294.57674850145855,43.069194227809575,1.223391098299352,96.4
