#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-53747.53784356262,13546.986927928476,-40200.55091563414,295.89176819304134,43.46146387781859,1.2123491509019257,0
1000,2.0000000000000013,-53521.30479751391,13362.01892473954,-40159.28587277437,291.85171782509735,43.46146387781859,1.2123491509019257,119
1500,2.999999999999891,-53834.06834949142,13508.267131448594,-40325.80121804283,295.0460547435888,43.46146387781859,1.2123491509019257,119
2000,3.999999999999781,-53738.56369367623,13472.798676143091,-40265.76501753314,294.271356723191,43.46146387781859,1.2123491509019257,119
2500,4.999999999999671,-53685.77244485283,13310.111603712634,-40375.6608411402,290.71796394443544,43.46146387781859,1.2123491509019257,119
3000,5.999999999999561,-54004.920016911965,13730.593437608,-40274.32657930396,299.90208097254407,43.46146387781859,1.2123491509019257,120
3500,6.999999999999451,-53716.037536613156,13351.69569129695,-40364.3418453162,291.626238918751,43.46146387781859,1.2123491509019257,120
4000,7.999999999999341,-53722.423721853476,13459.719869700439,-40262.703852153034,293.98569090061665,43.46146387781859,1.2123491509019257,120
4500,8.999999999999675,-53643.0004662231,13367.31867305033,-40275.68179317277,291.96747433294667,43.46146387781859,1.2123491509019257,120
5000,10.000000000000009,-53611.920741803086,13384.396361028323,-40227.52438077476,292.34048327724855,43.46146387781859,1.2123491509019257,120
5500,11.000000000000343,-53647.53607513577,13560.864373413526,-40086.67170172225,296.19487779995393,43.46146387781859,1.2123491509019257,119
6000,12.000000000000677,-53638.1510131049,13502.020392141514,-40136.130620963384,294.9096141646729,43.46146387781859,1.2123491509019257,119
6500,13.00000000000101,-53641.20238632731,13458.200463158386,-40183.00192316893,293.9525041934379,43.46146387781859,1.2123491509019257,119
7000,14.000000000001345,-53574.59507249319,13610.133420976308,-39964.46165151688,297.271006807688,43.46146387781859,1.2123491509019257,119
7500,15.000000000001679,-53425.380949674225,13241.866554583317,-40183.51439509091,289.22736324003347,43.46146387781859,1.2123491509019257,119
8000,16.00000000000201,-53851.57328731188,13616.151496948003,-40235.42179036388,297.4024529476938,43.46146387781859,1.2123491509019257,119
8500,17.000000000001457,-53939.50523292804,13632.509097520175,-40306.99613540786,297.75973382368824,43.46146387781859,1.2123491509019257,119
9000,18.000000000000902,-53689.59895032035,13304.298524899035,-40385.300425421316,290.59099532935136,43.46146387781859,1.2123491509019257,119
9500,19.000000000000348,-53796.88885572469,13450.798865664525,-40346.089990060165,293.7908393316082,43.46146387781859,1.2123491509019257,119
10000,19.999999999999794,-53865.2647650647,13308.978707587301,-40556.286057477395,290.6932193544032,43.46146387781859,1.2123491509019257,119
