#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
50	0.02	0.020261683889860684	2668.7505524407793
100	0.02	0.013816418420703566	1819.8178637787012
150	0.02	0.013236728362670007	1743.4644781948082
200	0.02	0.009833657757569798	1295.2319123960233
250	0.02	0.008665555918957901	1141.3763669217115
300	0.02	0.005224266323184837	688.109819099204
350	0.02	0.005737940505151345	755.7679794154692
400	0.02	0.007259825537953528	956.2217790167276
450	0.02	0.010476655276415243	1379.9237866234932
500	0.02	0.007769536044305673	1023.3578671526633
550	0.02	0.006186230032562412	814.8140552715035
600	0.02	0.0038856549171251793	511.7957501973126
650	0.02	0.003623585275242169	477.2774690240863
700	0.02	0.0022214574810609476	292.5973927947737
750	0.02	0.0046762198535508	615.9243419913034
800	0.02	0.006281278689595182	827.3333087226885
850	0.02	0.010692758822540619	1408.3876823807018
900	0.02	0.014132934958560743	1861.5075717938228
950	0.02	0.014791693882046951	1948.2754460996143
1000	0.02	0.014175418032677847	1867.1031939610477
1050	0.02	0.013957620090919552	1838.4161223164847
1100	0.02	0.01371283071297088	1806.1738964884992
1150	0.02	0.012234527135724331	1611.4603914364254
1200	0.02	0.013979166357913842	1841.2540706457855
1250	0.02	0.01580880331093696	2082.2431540649563
1300	0.02	0.015785839617487	2079.218510609171
1350	0.02	0.013977520766301163	1841.0373229386698
1400	0.02	0.011139248089784294	1467.196638491784
1450	0.02	0.007394085489624127	973.9057149689062
1500	0.02	0.0058775232900746075	774.1530078464768
1550	0.02	0.0038253550443161414	503.8534034631521
1600	0.02	0.005048922515977188	665.0145578713525
1650	0.02	0.005999447029047502	790.2120899794475
1700	0.02	0.0045813159245119105	603.4241512653945
1750	0.02	0.004747664792930779	625.3346517402791
1800	0.02	0.0028778456717555687	379.0530080365294
1850	0.02	-0.0007164301566845327	-94.36399199742065
1900	0.02	-0.0015113073075692738	-199.06056347081912
1950	0.02	-0.0032455075125881684	-427.47927636481984
2000	0.02	-0.00401192773539367	-528.4276676304398
2050	0.02	-0.004663368250910847	-614.2316040218652
2100	0.02	-0.0049220237006781745	-648.3001877689348
2150	0.02	-0.0036026767853154745	-474.52352496169317
2200	0.02	-0.003537892147159568	-465.99047115392096
2250	0.02	-0.0019163536134871042	-252.41089499105584
2300	0.02	-0.002016087690030229	-265.5472845092453
2350	0.02	0.0011574620046411754	152.45412874401464
2400	0.02	-0.0011942303497857144	-157.29704021920182
2450	0.02	-0.0008145823289020802	-107.29202232563654
2500	0.02	-0.002434087118117746	-320.603725557895
2550	0.02	-0.0037036221795889728	-487.8194621699803
2600	0.02	-0.0029082942676692107	-383.0635190881918
2650	0.02	-0.005839019021893851	-769.081450737142
2700	0.02	-0.006618547987408988	-871.7564489589414
2750	0.02	-0.006015242619885694	-792.2925928638423
2800	0.02	-0.009857216476949883	-1298.3349291888112
2850	0.02	-0.008086885058142106	-1065.1572240371293
2900	0.02	-0.010505475379107381	-1383.7198020681687
