#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-31523.176728138213,7878.148078166473,-23645.02864997174,168.94417807549397,52.20361015989463,0.9632941639180695,0
1000,2.0000000000000013,-31746.359379150555,8931.394141920466,-22814.96523723009,191.53067794661348,45.71823090863075,1.0999426706379227,108
1500,2.999999999999891,-31616.23828188958,9624.293643029308,-21991.94463886027,206.38966962108805,42.8684540931217,1.173063831348871,106
2000,3.999999999999781,-31302.51942946187,9850.576717520777,-21451.942711941094,211.24223238749573,41.68753740176245,1.2062941621577892,104
2500,4.999999999999671,-31486.807569637927,10615.424698152508,-20871.382871485417,227.64413447900893,41.336638709441814,1.2165341588597587,104
3000,5.999999999999561,-31151.861739784028,10845.517267807922,-20306.344471976106,232.578390560009,41.04624615513751,1.2251408524037797,103
3500,6.999999999999451,-31075.500337832407,11165.814221082219,-19909.68611675019,239.44704864743161,41.04878507574754,1.2250650758526682,102
4000,7.999999999999341,-30620.62841287462,11200.385189834758,-19420.243223039863,240.1884111914231,41.42037793002765,1.2140747022499938,102
4500,8.999999999999675,-30516.665241118477,11632.205477709602,-18884.459763408875,249.44864886244665,41.24844403383918,1.2191352711686774,102
5000,10.000000000000009,-30204.511788366875,11634.285578590825,-18570.22620977605,249.4932559109821,40.80314014232281,1.2324402687409883,102
5500,11.000000000000343,-30298.962272653855,11973.147477002736,-18325.814795651117,256.76003286671886,41.45235786158545,1.2131380600929023,102
6000,12.000000000000677,-30077.082481372752,12005.153023759916,-18071.929457612838,257.4463808176712,40.88298714977175,1.2300332365210083,102
6500,13.00000000000101,-30142.749166225716,12338.829747088754,-17803.91941913696,264.60196347572577,41.29313922633844,1.2178156939544371,102
7000,14.000000000001345,-29510.980553775593,12212.635890926274,-17298.34466284932,261.8957795990057,41.518015233130455,1.2112195807075161,102
