time_ps,Mx_eA,My_eA,Mz_eA,M_mag_eA
1.0000,-12.929042,-5.548099,-1.116958,14.113438
2.0000,-17.599828,-7.444100,-4.167691,19.558584
3.0000,-6.980272,-0.149635,-8.955049,11.355153
4.0000,-9.277161,8.082868,-2.476185,12.551094
5.0000,-6.194009,9.404230,-5.400379,12.488770
6.0000,-6.862134,8.528363,-4.569676,11.861863
7.0000,-5.974046,7.182877,-10.101074,13.759166
8.0000,-10.672123,7.084035,-16.523830,20.907288
9.0000,-8.463957,5.140946,-16.314554,19.084878
10.0000,-6.456212,1.162003,-6.655222,9.344779
11.0000,-3.367001,7.764153,-3.745248,9.254493
12.0000,-5.793506,8.222852,8.263214,13.017708
13.0000,-8.487249,8.631550,5.606260,13.340435
14.0000,-6.817976,6.287622,11.269667,14.595354
15.0000,-2.139124,9.932276,6.127864,11.864935
16.0000,-4.219517,0.426140,-0.486629,4.268808
17.0000,-4.026913,-0.080817,-1.742516,4.388498
18.0000,-2.731602,-8.044018,-0.551622,8.513058
19.0000,-7.839193,-4.200001,1.327180,8.991906
20.0000,-8.002505,-12.535237,6.658204,16.294292
21.0000,3.265045,-20.564034,8.673597,22.555959
22.0000,11.380364,-8.875598,1.920440,14.559431
23.0000,0.899376,-11.081492,6.413127,12.834973
24.0000,9.795389,-17.194327,-5.880363,20.643963
25.0000,5.576354,-26.508522,-5.361295,27.614144
26.0000,2.194310,-8.178611,-3.696846,9.239662
27.0000,4.753787,-20.504832,-0.629505,21.058084
28.0000,-11.341045,-3.353969,1.904442,11.978953
29.0000,-0.043090,-3.826750,3.187605,4.980632
30.0000,4.516603,0.250745,3.982330,6.026734
31.0000,-7.423006,7.955468,8.086050,13.556352
32.0000,6.737076,16.867150,5.437138,18.959204
33.0000,-4.865944,10.380521,-2.670526,11.771335
34.0000,-5.247854,9.073689,12.250363,16.122754
35.0000,-0.001929,3.234434,5.599523,6.466546
36.0000,5.372894,11.518777,5.173794,13.722914
37.0000,-1.564610,7.309200,8.552280,11.358428
38.0000,-0.494028,23.382731,-7.025598,24.420385
39.0000,-5.188481,18.328167,6.348606,20.078518
40.0000,-6.623291,22.856537,9.247577,25.530511
41.0000,-2.738971,32.936452,17.136036,37.228424
42.0000,-5.215123,28.424066,-1.926943,28.962703
43.0000,-7.163554,29.029151,0.793732,29.910502
44.0000,-6.350298,18.315568,1.447261,19.439159
45.0000,-1.636086,20.897226,10.089638,23.263096
46.0000,-0.750826,6.745424,10.626999,12.609425
47.0000,-1.161235,13.319555,18.703762,22.991079
