#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-31971.408910497696,7965.844946016483,-24005.56396448121,170.8248072680038,49.502665396769494,1.0158530373954824,0
1000,2.0000000000000013,-32006.955803594115,8894.15987264339,-23112.795930950728,190.7322018381622,44.61710070102387,1.1270887666917933,107
1500,2.999999999999891,-31931.076236407218,9492.252135043445,-22438.824101363774,203.55808486066144,42.72553279284931,1.1769878504802826,106
2000,3.999999999999781,-31735.57746170395,10116.060724356063,-21619.516737347887,216.93544567594344,41.815303207702826,1.2026083549530988,105
2500,4.999999999999671,-31443.804630232942,10584.149354236215,-20859.655275996727,226.97344547703267,41.130900253931436,1.2226193127799063,105
3000,5.999999999999561,-31001.402648033443,10647.551351808157,-20353.851296225286,228.3330795257784,41.501052411862325,1.2117146452919054,104
3500,6.999999999999451,-30642.01390597608,11070.976955859556,-19571.036950116526,237.41329608718533,41.3142706584172,1.217192805320289,104
4000,7.999999999999341,-30666.653346305106,11505.931296334618,-19160.722049970485,246.74074243914956,41.37143351411496,1.2155110116095842,103
4500,8.999999999999675,-30376.625151177923,11638.085781371745,-18738.539369806178,249.57474995361403,41.57851758163433,1.209457092926589,103
5000,10.000000000000009,-30354.631975998906,11841.699705288755,-18512.932270710153,253.9411805765951,41.058213041242865,1.224783771080513,103
5500,11.000000000000343,-29989.54159151132,11926.296871631304,-18063.244719880015,255.75533773554304,41.27432230559923,1.2183708948664822,103
6000,12.000000000000677,-29975.33389400733,12302.730111180954,-17672.603782826376,263.82781918994243,41.48469539550682,1.2121924127211292,102
6500,13.00000000000101,-29559.42006977956,12141.142629818223,-17418.277439961337,260.3626311844297,41.547259275871646,1.2103670345274664,102
7000,14.000000000001345,-29560.172955034286,12440.31480263735,-17119.858152396937,266.7782756148845,40.865826921618094,1.2305497475661844,102
7500,15.000000000001679,-29301.06872544219,12556.496725397137,-16744.572000045053,269.26975702055654,41.444505486517336,1.2133679099836279,102
8000,16.00000000000201,-29541.330656839804,12871.872893118643,-16669.457763721162,276.03289055291197,41.62877279894311,1.2079970083518112,102
8500,17.000000000001457,-29209.356482588628,12786.26056209753,-16423.095920491098,274.19696353631093,41.64931920729796,1.2074010802478847,102
9000,18.000000000000902,-28764.406713897097,12683.275992619021,-16081.130721278076,271.98849483625895,41.68813326060044,1.2062769202958608,102
9500,19.000000000000348,-29059.998609305625,13042.00384002312,-16017.994769282504,279.6812902408589,41.695617254518666,1.206060404275002,102
10000,19.999999999999794,-28583.96760918078,12846.932963269284,-15737.034645911497,275.49806232832736,42.20018685404853,1.191640055443407,102
10500,20.99999999999924,-28725.94575111859,13109.161459650802,-15616.784291467788,281.1214623139061,42.13256553675164,1.193552596710863,102
11000,21.999999999998685,-28519.44787180259,13004.889106835262,-15514.558764967327,278.8853775427603,41.60339120639075,1.2087339888474242,102
11500,22.99999999999813,-28838.98929871865,13534.86260775448,-15304.12669096417,290.2504771354843,41.959558310431795,1.1984738407024247,102
12000,23.999999999997577,-28581.192394861555,13202.878208058308,-15378.314186803247,283.13118577613614,42.05960032170651,1.1956231780102704,102
12500,24.999999999997023,-28380.66418080751,13124.14014194599,-15256.52403886152,281.44267500804517,41.784618374387364,1.203491498998711,102
13000,25.99999999999647,-28375.370253554127,13172.421199204739,-15202.949054349388,282.4780456883451,41.40887294470432,1.2144120191252796,102
13500,26.999999999995914,-28244.953225369176,13187.15133150879,-15057.801893860385,282.7939283133427,42.63057119906104,1.1796096460370238,102
14000,27.99999999999536,-28280.36028493645,13140.868091094755,-15139.492193841696,281.8014001286936,42.06254423006789,1.1955394977399676,102
14500,28.999999999994806,-28449.338786988177,13394.332557267664,-15055.006229720513,287.23685849835806,41.71880659714945,1.2053900172186747,102
15000,29.99999999999425,-28494.11739402511,13490.111809069213,-15004.005584955898,289.29081163705865,41.28693811280097,1.2179986044276063,102
15500,30.999999999993697,-28284.17753001415,13488.407202309423,-14795.770327704726,289.2542569309124,41.81794294766837,1.2025324408092242,102
16000,31.999999999993143,-28093.264319159374,13373.528216986258,-14719.736102173116,286.79071657079186,42.235963482732046,1.1906306582313504,102
16500,32.999999999994365,-28374.158194555042,13644.270501110732,-14729.88769344431,292.59669180860897,41.956203174433135,1.1985696797541538,102
17000,33.99999999999559,-28298.304413680446,13672.675843799661,-14625.628569880784,293.2058346205896,41.88981049965037,1.200469336162317,102
17500,34.99999999999681,-28286.206579276542,13774.96370393796,-14511.242875338583,295.3993626282769,42.131625319764694,1.1935792322469414,102
18000,35.99999999999803,-28116.475759361398,13583.539337567094,-14532.936421794304,291.2943328777223,41.95193046040351,1.1986917515022226,102
18500,36.999999999999254,-28244.57788870056,13733.003029584794,-14511.574859115768,294.49953038727904,42.299333545972466,1.1888469341443952,102
19000,38.000000000000476,-28119.667983665142,13491.253417372302,-14628.41456629284,289.31529303478516,41.98640397703483,1.1977075490910363,102
19500,39.0000000000017,-28286.474272201543,13616.328608280804,-14670.145663920739,291.9974875195822,42.04378455487249,1.1960729400287227,102
20000,40.00000000000292,-28039.195346617274,13408.996050042984,-14630.19929657429,287.55131206156386,42.00025685769548,1.1973125110368614,102
20500,41.00000000000414,-27994.1875509765,13517.043522102078,-14477.144028874423,289.86835296750314,42.17584870745828,1.192327707529637,102
21000,42.000000000005365,-28057.966361552262,13636.180675997959,-14421.785685554303,292.4232082892728,42.234381484475385,1.1906752563895202,102
21500,43.00000000000659,-28303.64203362547,13807.487434780583,-14496.154598844887,296.0968228588587,41.941831844401484,1.1989803685504272,102
22000,44.00000000000781,-28115.94933796425,13578.917845047814,-14537.031492916438,291.1952265589015,41.7510943173734,1.2044578429541908,102
22500,45.00000000000903,-28135.222930190663,13719.73225073986,-14415.490679450802,294.2149430956804,41.78781221535439,1.2033995161872355,102
23000,46.00000000001025,-27904.265760135884,13442.611565724506,-14461.654194411378,288.2721852428052,42.20835916867425,1.1914093320121841,102
23500,47.000000000011475,-28244.587578942617,13698.51691974506,-14546.070659197558,293.75998761350945,41.645016698911405,1.2075258215419333,102
24000,48.0000000000127,-28258.741090560237,13492.46474317743,-14766.276347382807,289.34126950038325,41.65623729014238,1.2072005604399767,102
24500,49.00000000001392,-28207.018929444916,13276.49997316434,-14930.518956280575,284.7099792274519,41.81265370829539,1.2026845593993902,102
25000,50.00000000001514,-28480.592079298538,13464.279472329425,-15016.312606969113,288.7368460533998,42.21250116126871,1.19129242805022,102
25500,51.000000000016364,-28425.25278616655,13395.501285571827,-15029.751500594724,287.2619214751873,42.182536476515835,1.1921386716627842,102
26000,52.000000000017586,-28275.195616297726,13574.63655046096,-14700.559065836766,291.10341566782677,41.64417724806772,1.2075501624855336,102
26500,53.00000000001881,-28222.664517291163,13583.018161188551,-14639.646356102612,291.2831564293956,42.33175751654546,1.1879363379331838,102
27000,54.00000000002003,-28385.554537155793,13646.656722548225,-14738.897814607568,292.6478635072701,42.23575418790274,1.1906365582761151,102
27500,55.00000000002125,-28318.21762096852,13632.207614464605,-14686.010006503915,292.3380073501008,42.3463397876209,1.1875272633877334,102
28000,56.000000000022474,-28343.55052219445,13693.671409590195,-14649.879112604256,293.6560773134811,41.9355495329231,1.199159986278479,102
28500,57.0000000000237,-28025.414828003726,13465.79461804041,-14559.620209963316,288.7693378324661,41.98883892161687,1.1976380936933066,102
29000,58.00000000002492,-28358.16673709327,13654.856302297314,-14703.310434795956,292.82370067706296,41.95692821283988,1.1985489678219892,102
29500,59.00000000002614,-27967.298814443333,13298.56103487306,-14668.737779570272,285.18307111413304,42.066969183649974,1.1954137409553522,102
30000,60.00000000002736,-28419.442905971293,13795.049205063213,-14624.39370090808,295.8300892971808,42.05187046503389,1.195842954103421,102
30500,61.000000000028585,-28213.565028310622,13552.80782798594,-14660.757200324682,290.6353062161651,42.126845663773096,1.193714654162325,102
31000,62.00000000002981,-28268.36282076719,13608.872598196785,-14659.490222570405,291.83759594571626,41.875729891592314,1.200872990934472,102
31500,63.00000000003103,-27930.817963044457,13228.053150003154,-14702.764813041304,283.6710537543425,42.08735786870394,1.1948346379774566,102
32000,64.00000000003224,-28124.098555668184,13377.310882231726,-14746.787673436458,286.8718345270031,42.01855458356875,1.196791120038796,102
32500,65.00000000002991,-28203.958358305652,13435.245044927133,-14768.71331337852,288.11421273593686,41.819113103098886,1.2024987923226456,102
33000,66.00000000002758,-28039.229898365844,13296.947026954273,-14742.282871411571,285.14845926899613,41.692173684450644,1.2061600189782273,102
33500,67.00000000002525,-28302.14072044085,13598.59654601481,-14703.544174426039,291.61722953821544,42.146251786330055,1.1931650116224817,102
34000,68.00000000002292,-28439.030910089423,13672.689193618822,-14766.3417164706,293.20612090287364,42.2303072465142,1.1907901287322835,102
34500,69.00000000002059,-28000.384219637624,13325.225932084879,-14675.158287552746,285.7548906709909,41.830922597897725,1.2021593089368723,102
35000,70.00000000001826,-28082.874722700435,13525.769954216754,-14557.104768483681,290.0554883052142,42.43847606773164,1.1849490759805321,102
35500,71.00000000001593,-27993.144471966527,13469.003893956244,-14524.140578010283,288.8381596515583,42.154554490656324,1.1929300074474012,102
36000,72.0000000000136,-28012.1786162466,13495.745535721157,-14516.433080525445,289.4116249689828,42.49690844019164,1.1833197954447192,102
36500,73.00000000001127,-27783.741905135765,13581.577145782869,-14202.164759352896,291.25225434925045,42.19846129481674,1.191688783416787,102
37000,74.00000000000894,-27756.359644145625,13422.834693425477,-14333.524950720148,287.8480770130141,42.40161782982226,1.1859791106157265,102
37500,75.00000000000661,-28089.067683423735,13782.318450282755,-14306.74923314098,295.55708263605624,42.23892486375907,1.1905471828338858,101
38000,76.00000000000428,-27829.02667710463,13528.633222404187,-14300.393454700443,290.11689010748245,42.07329301830988,1.1952340640556929,101
38500,77.00000000000195,-27939.489568993027,13724.106739235205,-14215.382829757822,294.30875249809503,42.119179535231005,1.1939319226391176,102
39000,77.99999999999962,-28080.99162009308,14073.44325244681,-14007.548367646268,301.8001539684301,42.56920253879562,1.181310196183517,102
39500,78.99999999999729,-27790.848068592444,13601.91042856344,-14188.937640029004,291.6882946105982,42.461875179691845,1.184296095960722,102
40000,79.99999999999496,-28071.611759091862,13722.954737651638,-14348.657021440224,294.2840482200405,41.70684620271551,1.205735690444183,102
40500,80.99999999999262,-28317.28251102239,13646.598200736138,-14670.684310286251,292.64660852712194,41.76408482919308,1.204083202305193,102
41000,81.9999999999903,-28111.28526861446,13439.662700249006,-14671.622568365456,288.2089478361114,41.84807500821903,1.2016665758844105,102
41500,82.99999999998796,-28214.69488636109,13577.082967617464,-14637.611918743625,291.1558782429948,41.6164681265684,1.2083541748314894,102
42000,83.99999999998563,-28264.320156934333,13659.5494816708,-14604.770675263533,292.92434429583574,41.88690520880531,1.2005526011482295,102
42500,84.9999999999833,-27925.39759126068,13391.490858454521,-14533.90673280616,287.17591924390877,42.48264809986163,1.1837170056883608,102
43000,85.99999999998097,-28451.681879329735,13683.58456788821,-14768.097311441525,293.4397684596983,42.20817026385631,1.1914146642253918,102
43500,86.99999999997864,-28442.21915240671,13679.514066994125,-14762.705085412585,293.3524779669221,41.63824443740658,1.2077222198470927,102
44000,87.99999999997631,-28264.95657754336,13387.662324792986,-14877.294252750373,287.09381765527843,42.33945826283697,1.1877202747919855,102
44500,88.99999999997398,-27951.83426965456,13241.074875474482,-14710.759394180077,283.95030018193575,42.33543047450155,1.187833274372123,102
45000,89.99999999997165,-28049.45230933679,13210.286004142488,-14839.166305194301,283.2900434173451,42.092403863379644,1.1946914024131219,102
45500,90.99999999996932,-28399.30143071406,13535.043356394364,-14864.258074319694,290.25435322794925,41.94517706106084,1.1988847473280568,102
46000,91.99999999996699,-28163.726175284966,13458.606328521808,-14705.119846763158,288.6151874341187,41.667890695914636,1.2068629384066953,102
46500,92.99999999996466,-28009.89826793232,13316.800303094353,-14693.097964837967,285.57420595290114,42.1255934885917,1.1937501371013133,102
47000,93.99999999996233,-28134.612488597028,13466.918026099022,-14667.694462498006,288.7934289322045,41.84955449885431,1.2016240938444689,102
47500,94.99999999996,-28306.44080897216,13728.378360414783,-14578.062448557375,294.4003559462751,41.93829514276381,1.1990814798573737,102
48000,95.99999999995767,-28060.14420143759,13466.604701344177,-14593.539500093413,288.7867097905163,41.4345563139424,1.213659261160212,102
48500,96.99999999995534,-28037.881961677842,13631.221550350736,-14406.660411327106,292.31686154405674,42.04316340787216,1.1960906108474396,102
49000,97.999999999953,-27975.20660750146,13561.427694771428,-14413.778912730031,290.8201562970147,42.13891369006621,1.1933727901090923,102
49500,98.99999999995067,-28253.69445067922,13805.765710919564,-14447.928739759656,296.0599010823591,42.13894882462681,1.193371795100204,102
50000,99.99999999994834,-28076.788420469078,13590.175857248938,-14486.61256322014,291.43665076154554,41.83150539292403,1.202142560496684,102
50500,100.99999999994601,-28204.253441185294,13688.59046267366,-14515.662978511635,293.5471181530106,41.60024666542398,1.2088253564197469,102
51000,101.99999999994368,-28058.564042477657,13617.37903796649,-14441.185004511168,292.0200136231935,41.988579448389295,1.1976454946348414,102
51500,102.99999999994135,-28204.7502896879,13954.646619960782,-14250.10366972712,299.25260101126867,42.009327010052836,1.1970540016136595,102
52000,103.99999999993902,-28092.567299269816,13760.388997915383,-14332.178301354434,295.08681306647054,41.986375337779336,1.1977083660573078,102
52500,104.99999999993669,-28059.947115131727,13741.853743727337,-14318.09337140439,294.68933091036615,42.05709411721066,1.1956944258281945,102
53000,105.99999999993436,-27960.97042950085,13510.749301696047,-14450.221127804802,289.73337557401265,42.267032958174035,1.1897554543807984,102
53500,106.99999999993203,-28161.474509033796,13682.212085644414,-14479.262423389382,293.4103360496572,41.787897170101125,1.2033970696774077,102
54000,107.9999999999297,-28136.05895030417,13578.328152893886,-14557.730797410284,291.18258081331834,41.836133060629905,1.2020095865361842,102
54500,108.99999999992737,-27801.889449419217,13291.834911431339,-14510.054537987879,285.038831708473,41.9926964440632,1.1975280765660385,102
