#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-28001.85677591621,14028.551452766398,-13973.305323149812,300.837464752121,41.93986777763607,1.1990365174516764,0
1000,2.0000000000000013,-27949.287220655315,14064.278971403884,-13885.00824925143,301.603629110927,41.93986777763607,1.1990365174516764,122
1500,2.999999999999891,-27834.035357430956,13968.19637903577,-13865.838978395186,299.5431709380245,41.93986777763607,1.1990365174516764,125
2000,3.999999999999781,-28047.24449266879,13997.695921282626,-14049.548571386164,300.17577848348435,41.93986777763607,1.1990365174516764,125
2500,4.999999999999671,-27733.575014039496,13721.019815523268,-14012.555198516227,294.2425544799668,41.93986777763607,1.1990365174516764,125
3000,5.999999999999561,-27926.411904677567,13773.670939975409,-14152.740964702158,295.3716397493805,41.93986777763607,1.1990365174516764,125
3500,6.999999999999451,-27951.54153820302,13655.340394569106,-14296.201143633913,292.83408186946497,41.93986777763607,1.1990365174516764,125
4000,7.999999999999341,-28233.554761242543,14036.242481560399,-14197.312279682144,301.0023962214543,41.93986777763607,1.1990365174516764,126
4500,8.999999999999675,-28052.88061409061,13693.939029108746,-14358.941584981863,293.6618163220844,41.93986777763607,1.1990365174516764,126
5000,10.000000000000009,-28282.086025497047,13844.734989832004,-14437.351035665042,296.89558387617495,41.93986777763607,1.1990365174516764,125
5500,11.000000000000343,-28076.6333920709,13820.58742526761,-14256.04596680329,296.3777476528164,41.93986777763607,1.1990365174516764,125
6000,12.000000000000677,-27870.708022321596,13620.134947021868,-14250.573075299728,292.0791131457707,41.93986777763607,1.1990365174516764,125
6500,13.00000000000101,-27872.48460223848,13553.773903971778,-14318.710698266703,290.65602338367273,41.93986777763607,1.1990365174516764,125
7000,14.000000000001345,-28247.29063542377,13767.150941675298,-14480.139693748473,295.2318206265439,41.93986777763607,1.1990365174516764,125
7500,15.000000000001679,-27937.487596393963,13437.889915659736,-14499.597680734227,288.1709310798423,41.93986777763607,1.1990365174516764,125
8000,16.00000000000201,-28209.071221511826,13711.329664167624,-14497.741557344201,294.03475251433184,41.93986777763607,1.1990365174516764,124
