#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-31976.443984103185,7883.73701811607,-24092.706965987116,169.06403097197796,49.814800238818975,1.0094877980318238,0
1000,2.0000000000000013,-32291.09726932422,8889.89857868926,-23401.198690634956,190.64081985378272,43.97580584316169,1.1435249914880254,106
1500,2.999999999999891,-31954.677075153933,9510.59263651222,-22444.084438641716,203.9513906116312,42.27832044905618,1.1894378127691954,104
2000,3.999999999999781,-31769.10141168855,10079.544705316679,-21689.55670637187,216.15237219700046,41.70977064288899,1.2056511514539803,103
2500,4.999999999999671,-31383.2051029954,10561.009436093855,-20822.19566690154,226.47721788489972,41.29917130215903,1.2176378221868005,102
3000,5.999999999999561,-31050.48207990508,10866.09729369453,-20184.384786210547,233.01972214246828,41.161702731113444,1.2217043918464796,101
3500,6.999999999999451,-30742.048655166305,11205.139503707784,-19536.909151458523,240.2903658185286,41.6507852595317,1.207358581336047,100
4000,7.999999999999341,-30408.44085299605,11411.367333811842,-18997.073519184207,244.71285076137718,41.790012174710654,1.2033361654034673,101
4500,8.999999999999675,-30105.081340758898,11552.938941325923,-18552.142399432974,247.74880523100418,41.879930747885496,1.2007525347930412,100
5000,10.000000000000009,-30178.333495120045,11838.459835217109,-18339.873659902936,253.87170267634556,41.23178680236507,1.2196277896837597,101
5500,11.000000000000343,-29839.19018915312,11818.03294763648,-18021.157241516637,253.4336550922295,41.479810458741525,1.212335168515286,100
6000,12.000000000000677,-29784.26932024277,12003.68904665261,-17780.58027359016,257.4149863317258,41.29807574802619,1.217670123646959,101
6500,13.00000000000101,-29673.17819844991,12174.550261187049,-17498.627937262863,261.07904635802834,41.36257577463402,1.2157713116435018,101
7000,14.000000000001345,-29474.819019104427,12483.856714200416,-16990.96230490401,267.7120169444293,41.67340833485069,1.206703147446332,101
7500,15.000000000001679,-29217.98122411169,12305.364150361984,-16912.617073749705,263.8843052549468,41.7630243433521,1.204113777513945,101
8000,16.00000000000201,-29057.28314571995,12577.626795434793,-16479.656350285157,269.7228841108029,41.95889356044423,1.198492827987434,101
8500,17.000000000001457,-28806.82357269893,12549.517207995445,-16257.306364703485,269.1200836685082,41.48969818239573,1.2120462477554905,101
