#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-27932.27623310036,13656.108290991477,-14276.167942108885,292.8505491443419,41.962466942570835,1.1983907683812565,0
1000,2.0000000000000013,-28174.92335268035,13711.587888134105,-14463.335464546246,294.0402900385499,41.962466942570835,1.1983907683812565,127
1500,2.999999999999891,-27977.824424224025,13658.473809875311,-14319.350614348714,292.90127688385456,41.962466942570835,1.1983907683812565,127
2000,3.999999999999781,-28050.225938160933,13593.961264536263,-14456.26467362467,291.517827519902,41.962466942570835,1.1983907683812565,127
2500,4.999999999999671,-27983.772728611915,13539.27154252827,-14444.501186083646,290.3450252265021,41.962466942570835,1.1983907683812565,126
3000,5.999999999999561,-27891.59023486335,13555.595515033034,-14335.994719830316,290.6950872068535,41.962466942570835,1.1983907683812565,125
3500,6.999999999999451,-28277.25733037634,13781.536785623615,-14495.720544752723,295.54032010607347,41.962466942570835,1.1983907683812565,125
4000,7.999999999999341,-28055.51973275735,13534.19526181825,-14521.324470939102,290.2361661312267,41.962466942570835,1.1983907683812565,126
4500,8.999999999999675,-28017.527869074933,13631.936047701087,-14385.591821373846,292.33218369418574,41.962466942570835,1.1983907683812565,126
5000,10.000000000000009,-28109.992203452817,13610.505535802733,-14499.486667650084,291.87261373148874,41.962466942570835,1.1983907683812565,126
5500,11.000000000000343,-27968.521423595237,13291.465408093725,-14677.056015501512,285.0309078363841,41.962466942570835,1.1983907683812565,126
6000,12.000000000000677,-28017.929812092876,13422.507271103015,-14595.42254098986,287.8410555538332,41.962466942570835,1.1983907683812565,125
6500,13.00000000000101,-28115.368890096666,13356.763846336393,-14758.605043760273,286.4312104035692,41.962466942570835,1.1983907683812565,125
7000,14.000000000001345,-28000.606673043738,13345.401791650918,-14655.20488139282,286.18755504560426,41.962466942570835,1.1983907683812565,125
7500,15.000000000001679,-28264.42658677025,13713.192993592915,-14551.233593177334,294.0747109734921,41.962466942570835,1.1983907683812565,125
8000,16.00000000000201,-28170.68080094353,13717.232222994544,-14453.448577948986,294.1613308598595,41.962466942570835,1.1983907683812565,125
8500,17.000000000001457,-28006.50436789353,13582.225279568569,-14424.27908832496,291.26615335554243,41.962466942570835,1.1983907683812565,125
9000,18.000000000000902,-27860.894673343508,13531.789409738867,-14329.10526360464,290.1845734601967,41.962466942570835,1.1983907683812565,125
