#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
50	0.02	0.01100142079604546	1500.6268278789312
100	0.02	0.013462870081420402	1836.3759008009301
150	0.02	0.015626453527274733	2131.495178882795
200	0.02	0.017422524227914234	2376.484615075961
250	0.02	0.018773974585813702	2560.8265015657053
300	0.02	0.02191311234818745	2989.0143174811883
350	0.02	0.021942662302254782	2993.045019938453
400	0.02	0.019816859006750866	2703.0790677976806
450	0.02	0.020280722114079053	2766.351388366509
500	0.02	0.020544100981695727	2802.277056693279
550	0.02	0.02414667576325407	3293.6790734754923
600	0.02	0.022928551296398876	3127.523238829508
650	0.02	0.02302081509842939	3140.108298444614
700	0.02	0.020082680503558367	2739.3379180799693
750	0.02	0.01971772700352627	2689.5571649182198
800	0.02	0.022625874807577256	3086.237256980946
850	0.02	0.025498502835339536	3478.072344911275
900	0.02	0.027391466862295828	3736.2783217321453
950	0.02	0.023990778575760135	3272.4142290266404
1000	0.02	0.024936433352580376	3401.4043798731936
1050	0.02	0.020768698964502393	2832.9128958940046
1100	0.02	0.023480515250596447	3202.812779430368
1150	0.02	0.022089586206116514	3013.0858815579704
1200	0.02	0.02726302195768797	3718.7580510932657
1250	0.02	0.025668055221617966	3501.1997994734857
1300	0.02	0.025907968614968253	3533.9247066562307
1350	0.02	0.02270336738451805	3096.807477143839
1400	0.02	0.018763190182706023	2559.3554766021057
1450	0.02	0.017981898737919326	2452.7849777388456
1500	0.02	0.014403829325447308	1964.725566876335
1550	0.02	0.014699786264921823	2005.0949820187907
1600	0.02	0.012587618673655558	1716.9889808766552
1650	0.02	0.01693093201726365	2309.4299615585032
1700	0.02	0.014818744099911093	2021.32118787717
1750	0.02	0.01098416516536924	1498.2731080453968
1800	0.02	0.009259449771811767	1263.0167499794968
1850	0.02	0.010488976222207586	1430.7278494143934
1900	0.02	0.008583958497777048	1170.8777120673221
1950	0.02	0.009849440693580009	1343.4932831313504
2000	0.02	0.011576357149008742	1579.049872645085
2050	0.02	0.013136607932629987	1791.8727641176831
2100	0.02	0.008646918655312181	1179.4656665903115
2150	0.02	0.00891241227208188	1215.679793050998
2200	0.02	0.011915175508091628	1625.2657141117124
2250	0.02	0.009299403640906806	1268.4665776838538
2300	0.02	0.010565362077286696	1441.1471093924672
2350	0.02	0.012175044174591138	1660.7125804668715
2400	0.02	0.010032742266279286	1368.4961680027125
2450	0.02	0.012707459196054727	1733.3355879479768
2500	0.02	0.006643758266543237	906.2285751583033
2550	0.02	0.006229746474565142	849.756123679683
2600	0.02	0.004887153322299273	666.6223866317451
2650	0.02	0.003518731504681405	479.9655420803246
2700	0.02	-0.0008517007264588729	-116.17453628422035
2750	0.02	-0.0027612739690575736	-376.6460599871786
2800	0.02	-0.0032743545915589986	-446.6317973991338
2850	0.02	-0.005832812916336776	-795.6131945611969
2900	0.02	-0.007844875401350843	-1070.064558649205
2950	0.02	-0.008935608945678658	-1218.8438889766248
3000	0.02	-0.00824264417993662	-1124.321414332156
3050	0.02	-0.0019040854062508492	-259.7229663481159
3100	0.02	-0.0018240714210802148	-248.8088185322519
3150	0.02	0.0027718488757076565	378.0885090049576
3200	0.02	0.003446878366453792	470.16455829008476
3250	0.02	0.0023932925586629935	326.45229076081404
3300	0.02	0.0028050487530544388	382.6170719562794
3350	0.02	0.0025887786595084035	353.1171818548367
3400	0.02	0.004513667636228634	615.6778176768123
3450	0.02	0.007285594622774601	993.77698123464
3500	0.02	0.006632031024312306	904.6289441074579
3550	0.02	0.005744922671209848	783.6247012391586
3600	0.02	0.004128503245183544	563.1402382985492
3650	0.02	0.006296204667646771	858.8212207539174
3700	0.02	0.004978264818054238	679.0502682111157
3750	0.02	0.006525345807661354	890.0767602384399
3800	0.02	0.006788040797376719	925.9091455661563
3850	0.02	0.005448823475690706	743.2358819450985
3900	0.02	0.0017568660176847436	239.6417997277424
3950	0.02	0.0010591505054748395	144.47130900114215
4000	0.02	0.00204252458911275	278.6064865482415
4050	0.02	0.0029795076441493915	406.41378850703614
4100	0.02	-0.0003160606502542099	-43.11162165334263
4150	0.02	-0.007568098196504396	-1032.3113168963564
4200	0.02	-0.01043197364819368	-1422.9525271710909
4250	0.02	-0.007295409425739231	-995.1157498275444
4300	0.02	-0.00985326261607971	-1344.0146048354693
4350	0.02	-0.007987262818741684	-1089.4866298934844
4400	0.02	-0.007284239886623563	-993.5921911561009
4450	0.02	-0.003090900765630846	-421.60814473021907
4500	0.02	-0.0017862698431176966	-243.65256980053329
4550	0.02	-0.0016555585964082705	-225.8231632944052
4600	0.02	0.0012571625577945573	171.48074746032236
4650	0.02	0.00585090903964809	798.0815601137011
4700	0.02	0.008238604866407059	1123.7704398388562
4750	0.02	0.0047280909707890055	644.925804307795
4800	0.02	0.003718946643672527	507.2754881761584
4850	0.02	0.005696330551934909	776.9965902742841
4900	0.02	0.011210853772664963	1529.194114703442
4950	0.02	0.01582258105253828	2158.2475621933013
5000	0.02	0.018121108169233464	2471.7735621404945
5050	0.02	0.01802119903065897	2458.1456556659914
5100	0.02	0.019339410246101335	2637.953623325475
5150	0.02	0.021786524781034586	2971.747393247748
5200	0.02	0.023299473341481254	3178.118119456419
5250	0.02	0.02321971361989516	3167.2386539569015
5300	0.02	0.025076484509255408	3420.507778141314
5350	0.02	0.02225153168833075	3035.1757315664186
5400	0.02	0.020704817250873923	2824.199238352951
5450	0.02	0.01979062167555316	2699.5002170458415
5500	0.02	0.02064876585910202	2816.5536602233433
5550	0.02	0.01701974625875735	2321.544490759229
5600	0.02	0.018906565146020744	2578.9122520754663
5650	0.02	0.01972979907258986	2691.2038313843677
5700	0.02	0.02623421893832217	3578.426230314434
