SMILES,Temperature [K],Exp Density [g/mL],Sim Density [g/mL],Sim Density std [g/mL],Similarity
ClC(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,307,1.7921,1.589,0.00054,0.9164
ClC(Cl)=C(Cl)C(Cl)(Cl)Cl,293,1.7632,1.5341,0.00077,0.9229
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,298,1.7019,1.6737,0.00077,0.9216
ClSC(Cl)(Cl)Cl,293,1.6947,1.474,0.00084,0.9016
ClC(Cl)C(Cl)(Cl)Cl,293,1.6796,1.5284,0.00039,0.9495
FC(F)(Cl)C(F)(Cl)C(F)(F)Cl,293,1.6631,1.766,0.00049,0.9165
O=[N+]([O-])C(Cl)(Cl)Cl,293,1.6558,1.5172,0.00052,0.9434
FC1(F)C(Cl)=C(Cl)C(F)(F)C1(F)F,293,1.6546,1.7264,0.00094,0.9247
O=C(Cl)OC(Cl)(Cl)Cl,287,1.6525,1.8409,0.00093,0.8973
O=C(O)C(F)(F)C(F)(F)C(F)(F)F,293,1.651,1.6663,0.00136,0.9212
ClC(Cl)=C(Cl)C(Cl)Cl,307,1.6317,1.4682,0.00069,0.9276
O=C=NS(=O)(=O)Cl,298,1.626,1.7868,0.00069,0.8946
ClC(Cl)=C(Cl)Cl,293,1.623,1.5327,0.00065,0.9329
O=C(Cl)C(Cl)(Cl)Cl,293,1.6202,1.5741,0.00062,0.8976
O=[N+]([O-])C(F)(F)C(F)(F)[N+](=O)[O-],298,1.6024,1.5485,0.00095,0.9257
FC1=C(F)C(F)(F)C1(F)F,253,1.602,1.5366,0.00066,0.9184
ClC(Cl)C(Cl)Cl,293,1.5953,1.5348,0.00067,0.9535
FC(Cl)(Cl)C(F)(Cl)Cl,323,1.5951,1.6401,0.00089,0.9318
ClC(Cl)(Cl)Cl,293,1.594,1.3454,0.00083,0.9781
O=[N+]([O-])C(F)([N+](=O)[O-])[N+](=O)[O-],293,1.59,1.5148,0.00049,0.8915
FC(F)(Cl)C(F)(Cl)Cl,298,1.5635,1.6402,0.00076,0.9328
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,298,1.556,1.5866,0.00074,0.919
FC(F)=C(Cl)Cl,253,1.555,1.4184,0.00102,0.9115
FC(F)=C(F)C(F)=C(F)F,253,1.553,1.6838,0.00098,0.9251
ClCC(Cl)=C(Cl)Cl,293,1.55,1.4267,0.00056,0.9274
FC(Cl)C(F)(F)C(F)(F)Cl,298,1.55,1.6717,0.00087,0.9272
FC(Cl)(Cl)C(Cl)Cl,290,1.5497,1.6307,0.00092,0.9333
FC(F)(Cl)C(Cl)Cl,293,1.5447,1.6111,0.00073,0.9415
ClCC(Cl)(Cl)Cl,293,1.5406,1.4108,0.00071,0.968
FC(F)(F)C(F)(F)C(Cl)Cl,298,1.54,1.5804,0.00051,0.933
FC(F)=C(F)Cl,213,1.54,1.6036,0.00043,0.9156
FC(Cl)C(Cl)Cl,293,1.5393,1.5912,0.00047,0.9359
O=C(O)C(F)(F)F,298,1.5351,1.4689,0.00112,0.9642
O=C(Cl)C(Cl)Cl,289,1.5315,1.614,0.00039,0.893
O=C(O)C(F)F,298,1.526,1.5357,0.00113,0.9603
Fc1cc(F)c(F)c(F)c1F,298,1.514,1.5975,0.00077,0.9745
FC(F)OC(F)(F)C(F)Cl,298,1.5121,1.6683,0.00092,0.9412
O=CC(Cl)(Cl)Cl,293,1.512,1.4046,0.00093,0.9413
O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,298,1.511,1.5859,0.00065,0.935
S=C(Cl)Cl,288,1.508,1.4045,0.00051,0.9026
Fc1c(F)c(F)c(S)c(F)c1F,298,1.501,1.6622,0.00079,0.9254
ClCC(Cl)(Cl)CCl,291,1.5,1.4713,0.00103,0.9551
Fc1ccc(Cl)cc1,288,1.499,1.2622,0.00065,0.9976
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,348,1.4982,1.5447,0.00071,0.9247
ClC(Cl)(Cl)C1CO1,293,1.495,1.3811,0.00081,0.8915
COc1c(F)c(F)c(F)c(F)c1F,293,1.493,1.545,0.00082,0.9476
FC(Cl)(Cl)CCl,293,1.492,1.5497,0.0005,0.9358
FC(F)Cl,204,1.4909,1.5747,0.00087,0.9398
O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,548,1.49,1.4749,0.00091,0.8937
COC(=O)C(Cl)(Cl)Cl,293,1.4874,1.3696,0.00064,0.967
OCC(F)(F)C(F)F,293,1.4853,1.5335,0.00079,0.9392
COC(=O)C(F)(F)C(F)(F)C(F)(F)F,293,1.483,1.5223,0.00102,0.9209
CS(=O)(=O)O,291,1.4812,1.5429,0.00052,0.9358
CS(=O)(=O)Cl,291,1.4805,1.4884,0.00077,0.8751
O=[N+]([O-])c1ccc(Cl)cc1Cl,353,1.479,1.4345,0.00056,0.934
ClC(Cl)Cl,298,1.4788,1.3627,0.00108,0.9636
O=C(Cl)C(=O)Cl,293,1.4785,1.9059,0.00055,0.889
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,425,1.4775,1.5711,0.00045,0.9206
S=C(S)S,298,1.476,1.3556,0.00045,0.9247
CC(Cl)C(Cl)(Cl)Cl,293,1.473,1.3775,0.00069,0.9591
FC(F)(F)c1ccc(Cl)c(Cl)c1,298,1.4729,1.5216,0.00064,0.9524
O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,327,1.4718,1.5554,0.00076,0.9269
ClC=C(Cl)Cl,293,1.4642,1.4081,0.00078,0.9156
OC(C(F)(F)F)C(F)(F)F,294,1.46,1.6649,0.00071,0.967
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,348,1.4558,1.4651,0.00104,0.9369
ClCCC(Cl)(Cl)Cl,293,1.4509,1.3912,0.00082,0.9515
Clc1ccc(Cl)s1,293,1.4422,1.4354,0.00068,0.9199
N#CC(Cl)(Cl)Cl,298,1.4403,1.2774,0.0008,0.9646
O=S1OCCO1,293,1.4402,1.4467,0.00065,0.8765
Cc1c(F)c(F)c(F)c(F)c1F,293,1.44,1.5186,0.00046,0.9587
ClCC(Cl)Cl,293,1.4397,1.4311,0.00073,0.9632
O=[N+]([O-])c1cc(Cl)ccc1Cl,348,1.439,1.4567,0.00081,0.9258
O=CC(Cl)Cl,298,1.436,1.4496,0.00046,0.9465
COC(F)(F)C(Cl)Cl,293,1.43,1.4762,0.00077,0.9385
O=C(Cl)CCl,293,1.4202,1.5556,0.0005,0.8901
FC(Cl)C(F)Cl,293,1.4163,1.6561,0.00057,0.9418
Cl/C=C(\Cl)CCl,293,1.412,1.3565,0.00054,0.9216
COS(=O)(=O)F,298,1.412,1.4436,0.00053,0.927
COP(Cl)Cl,298,1.406,1.5202,0.00058,0.9197
OCC(Cl)Cl,298,1.404,1.3556,0.00083,0.9571
O=[N+]([O-])c1cc(Cl)cc(Cl)c1,373,1.4,1.4347,0.00054,0.9253
CCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,293,1.394,1.4418,0.00095,0.9209
COC(=O)C(F)(F)C(F)(F)F,298,1.39,1.4138,0.00164,0.9334
O=C(Cl)OCCOCCOC(=O)Cl,293,1.39,1.5299,0.00057,0.892
ClCC(Cl)CCl,293,1.3889,1.3427,0.0009,0.9593
O=C(Cl)OCCCl,293,1.3847,1.5019,0.00065,0.892
OCC(F)(F)F,293,1.3842,1.4634,0.00065,0.9775
CCOC(=O)C(Cl)(Cl)Cl,293,1.3836,1.2992,0.00084,0.9668
O=C(CCl)CCl,319,1.3826,1.4016,0.00088,0.9583
FC(Cl)CCl,293,1.3814,1.4951,0.00064,0.9392
FC(F)(F)c1cccc(C(F)(F)F)c1,298,1.379,1.4867,0.00102,0.9477
COC(=O)C(Cl)Cl,293,1.3774,1.3577,0.00044,0.9417
ClC(Cl)(Cl)c1ccccc1,293,1.3723,1.2881,0.0004,0.9369
CC(Cl)C(Cl)Cl,288,1.372,1.3154,0.00051,0.9594
O=C(O)CF,309,1.3693,1.4476,0.00061,0.9477
N#CC(Cl)Cl,293,1.369,1.3072,0.00069,0.9409
C=CC(Cl)(Cl)Cl,293,1.367,1.2642,0.00063,0.9421
ClCCC(Cl)Cl,293,1.3557,1.3338,0.00044,0.9586
O=[N+]([O-])CCC[N+](=O)[O-],299,1.353,1.3124,0.00081,0.9331
OC(CCl)CCl,290,1.3506,1.332,0.00061,0.9565
CC([N+](=O)[O-])[N+](=O)[O-],297,1.349,1.2971,0.00056,0.8938
C=C(Cl)C(Cl)CCl,293,1.343,1.3035,0.00088,0.9049
Oc1cccc(C(F)(F)F)c1,298,1.3418,1.4073,0.00077,0.9528
CC(Cl)(Cl)Cl,293,1.339,1.2531,0.00058,0.9677
COc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],404,1.3364,1.3754,0.00104,0.9321
FC(F)(F)c1ccc(Cl)cc1,298,1.334,1.3979,0.00083,0.9527
COC(=O)C(=O)Cl,293,1.3316,1.4982,0.00059,0.8986
CP(=O)(F)F,293,1.3314,1.4301,0.00071,0.8921
FC(F)(F)c1cccc(Cl)c1,298,1.3311,1.4004,0.00085,0.9511
O=C(Cl)CCCl,286,1.3307,1.4494,0.00041,0.891
